,train_loss,val-auc
0,1.6291775703430176,0.7320085929108486
1,1.0943463444709778,0.7540279269602578
2,1.2714414596557617,0.7564446831364124
3,1.134085476398468,0.7633369137128536
4,1.2459347248077393,0.7695578231292517
5,0.9419440925121307,0.7679466523451486
6,1.2250043153762817,0.7709452201933406
7,0.9673654139041901,0.7674543501611171
8,0.9440571367740631,0.7699606158252774
9,0.9922473728656769,0.7692892946652344
10,0.781933456659317,0.769155030433226
11,0.8299194872379303,0.766469745793054
12,0.8100525140762329,0.7736305048335124
13,0.8042652308940887,0.7685284640171858
14,0.7735173106193542,0.7706319369853205
15,0.7185574769973755,0.7802989616899392
16,0.8426673114299774,0.7790905836018619
17,0.660232275724411,0.7817758682420336
18,0.640938937664032,0.7738542785535267
19,0.805593729019165,0.7848191908342285
20,0.7001319229602814,0.7773451485857501
21,0.7333546876907349,0.7783745076978159
22,0.8335531949996948,0.7777479412817758
23,0.6348551511764526,0.7789563193698532
24,0.7575825750827789,0.7758682420336556
25,0.7110571563243866,0.7813730755460079
26,0.6276654899120331,0.7841143036161833
27,0.6460829675197601,0.7830625671321161
28,0.6909078061580658,0.7794598102398855
29,0.69612255692482,0.781328320802005
30,0.6271443665027618,0.7809926602219834
