class,best_avg_ep,best_avg_ep_prec,best_avg_ep_recall,best_avg_ep_f1,best_own_ep,best_own_ep_prec,best_own_ep_recall,best_own_ep_f1
0-10,31,0.0,0.0,0.0,0,0.0,0.0,0.0
10-50,31,0.0,0.0,0.0,0,0.0,0.0,0.0
50-500,31,0.56951871657754,0.16798107255520506,0.25943970767356883,31,0.56951871657754,0.16798107255520506,0.25943970767356883
500-2000,31,0.5254726049343159,0.7635009310986964,0.6225090149933574,0,0.47333627148523577,1.0,0.6425366437331738
2000+,31,0.4501915708812261,0.49682875264270615,0.4723618090452261,26,0.43313201035375326,0.5306553911205074,0.4769596199524941
average,31,0.30903657847861643,0.28566215125932154,0.27086210634243046,0,0.0,0.0,0.0
